r (m)	u(r) (m/s)	Log Derivative
0.040000	0.0045629	-0.60140
0.040200	0.0045492	-0.59880
0.040400	0.0045356	-0.60841
0.040600	0.0045221	-0.60559
0.040800	0.0045087	-0.59838
0.041000	0.0044955	-0.60014
0.041200	0.0044823	-0.60975
0.041400	0.0044692	-0.60686
0.041600	0.0044562	-0.60401
0.041800	0.0044433	-0.60100
0.042000	0.0044305	-0.59802
0.042200	0.0044178	-0.60772
0.042400	0.0044052	-0.60458
0.042600	0.0043927	-0.60143
0.042800	0.0043803	-0.61636
0.043000	0.0043679	-0.59504
0.043200	0.0043557	-0.60475
0.043400	0.0043436	-0.60651
0.043600	0.0043315	-0.60299
0.043800	0.0043195	-0.61312
0.044000	0.0043076	-0.59635
0.044200	0.0042958	-0.61121
0.044400	0.0042840	-0.60260
0.044600	0.0042724	-0.59892
0.044800	0.0042609	-0.61956
0.045000	0.0042493	-0.61057
0.045200	0.0042379	-0.59330
0.045400	0.0042266	-0.60309
0.045600	0.0042154	-0.61865
0.045800	0.0042042	-0.60081
0.046000	0.0041931	-0.61647
0.046200	0.0041820	-0.60701
0.046400	0.0041711	-0.61414
0.046600	0.0041601	-0.60446
0.046800	0.0041493	-0.60050
0.047000	0.0041386	-0.62216
0.047200	0.0041278	-0.59226
0.047400	0.0041173	-0.61376
0.047600	0.0041067	-0.60956
0.047800	0.0040962	-0.62003
0.048000	0.0040858	-0.60680
0.048200	0.0040754	-0.61724
0.048400	0.0040651	-0.59821
0.048600	0.0040549	-0.61429
0.048800	0.0040447	-0.60976
0.049000	0.0040346	-0.62669
0.049200	0.0040245	-0.60072
0.049400	0.0040146	-0.62344
0.049600	0.0040046	-0.60375
0.049800	0.0039947	-0.61402
0.050000	0.0039849	-0.61560
0.050200	0.0039751	-0.62648
0.050400	0.0039654	-0.61227
0.050600	0.0039557	-0.62306
0.050800	0.0039461	-0.60261
0.051000	0.0039366	-0.61951
0.051200	0.0039271	-0.62102
0.051400	0.0039176	-0.61597
0.051600	0.0039082	-0.62705
0.051800	0.0038989	-0.61890
0.052000	0.0038895	-0.62313
0.052200	0.0038803	-0.60867
0.052400	0.0038711	-0.62614
0.052600	0.0038619	-0.62091
0.052800	0.0038528	-0.63909
0.053000	0.0038437	-0.62379
0.053200	0.0038346	-0.61146
0.053400	0.0038257	-0.63651
0.053600	0.0038167	-0.63097
0.053800	0.0038078	-0.63256
0.054000	0.0037989	-0.62672
0.054200	0.0037901	-0.62826
0.054400	0.0037813	-0.62981
0.054600	0.0037725	-0.64132
0.054800	0.0037638	-0.62543
0.055000	0.0037551	-0.64428
0.055200	0.0037464	-0.63841
0.055400	0.0037378	-0.63978
0.055600	0.0037292	-0.63391
0.055800	0.0037207	-0.64282
0.056000	0.0037121	-0.63682
0.056200	0.0037036	-0.64864
0.056400	0.0036952	-0.63978
0.056600	0.0036867	-0.65177
0.056800	0.0036783	-0.65313
0.057000	0.0036699	-0.64700
0.057200	0.0036616	-0.65613
0.057400	0.0036532	-0.64982
0.057600	0.0036449	-0.67055
0.057800	0.0036366	-0.64510
0.058000	0.0036284	-0.67345
0.058200	0.0036201	-0.64796
0.058400	0.0036119	-0.67667
0.058600	0.0036036	-0.66999
0.058800	0.0035954	-0.66335
0.059000	0.0035873	-0.67307
0.059200	0.0035791	-0.68661
0.059400	0.0035710	-0.67616
0.059600	0.0035628	-0.66938
0.059800	0.0035547	-0.69142
0.060000	0.0035466	-0.69287
0.060200	0.0035385	-0.69441
0.060400	0.0035304	-0.69605
0.060600	0.0035223	-0.69764
0.060800	0.0035142	-0.69070
0.061000	0.0035062	-0.70082
0.061200	0.0034981	-0.70250
0.061400	0.0034900	-0.72618
0.061600	0.0034819	-0.72776
0.061800	0.0034738	-0.70746
0.062000	0.0034657	-0.72210
0.062200	0.0034577	-0.73298
0.062400	0.0034496	-0.73461
0.062600	0.0034415	-0.73646
0.062800	0.0034334	-0.73804
0.063000	0.0034253	-0.76367
0.063200	0.0034172	-0.75091
0.063400	0.0034090	-0.75250
0.063600	0.0034008	-0.76927
0.063800	0.0033927	-0.78059
0.064000	0.0033845	-0.79203
0.064200	0.0033762	-0.75995
0.064400	0.0033680	-0.78634
0.064600	0.0033598	-0.79782
0.064800	0.0033515	-0.83659
0.065000	0.0033431	-0.80181
0.065200	0.0033348	-0.81357
0.065400	0.0033264	-0.84288
0.065600	0.0033180	-0.82741
0.065800	0.0033095	-0.85735
0.066000	0.0033010	-0.85941
0.066200	0.0032925	-0.87181
