r (m)	u(r) (m/s)	Log Derivative
0.00020000	0.0061568	1.0434
0.00040000	0.012690	0.93729
0.00060000	0.018556	0.52105
0.00080000	0.021557	0.64530
0.0010000	0.024895	0.34625
0.0012000	0.026518	0.10125
0.0014000	0.026935	-0.59417
0.0016000	0.024881	-0.59382
0.0018000	0.023200	-0.59358
0.0020000	0.021793	-0.59431
0.0022000	0.020593	-0.59390
0.0024000	0.019556	-0.59355
0.0026000	0.018648	-0.59400
0.0028000	0.017845	-0.59433
0.0030000	0.017128	-0.59417
0.0032000	0.016484	-0.59419
0.0034000	0.015901	-0.59379
0.0036000	0.015370	-0.59501
0.0038000	0.014884	-0.59304
0.0040000	0.014438	-0.59472
0.0042000	0.014025	-0.59386
0.0044000	0.013643	-0.59248
0.0046000	0.013288	-0.59395
0.0048000	0.012956	-0.59358
0.0050000	0.012646	-0.59595
0.0052000	0.012354	-0.59273
0.0054000	0.012081	-0.59538
0.0056000	0.011822	-0.59417
0.0058000	0.011578	-0.59190
0.0060000	0.011348	-0.59411
0.0062000	0.011129	-0.59517
0.0064000	0.010921	-0.59404
0.0066000	0.010723	-0.59158
0.0068000	0.010535	-0.59426
0.0070000	0.010355	-0.59608
0.0072000	0.010183	-0.59620
0.0074000	0.010018	-0.59162
0.0076000	0.0098610	-0.59352
0.0078000	0.0097100	-0.59427
0.0080000	0.0095651	-0.59394
0.0082000	0.0094258	-0.59413
0.0084000	0.0092918	-0.59444
0.0086000	0.0091629	-0.59384
0.0088000	0.0090386	-0.59301
0.0090000	0.0089188	-0.59623
0.0092000	0.0088031	-0.59121
0.0094000	0.0086914	-0.59598
0.0096000	0.0085833	-0.59464
0.0098000	0.0084788	-0.59382
0.0100000	0.0083777	-0.59430
0.010200	0.0082797	-0.59117
0.010400	0.0081848	-0.59559
0.010600	0.0080927	-0.59338
0.010800	0.0080034	-0.59586
0.011000	0.0079166	-0.59148
0.011200	0.0078323	-0.59387
0.011400	0.0077504	-0.59673
0.011600	0.0076708	-0.59463
0.011800	0.0075932	-0.59049
0.012000	0.0075178	-0.59466
0.012200	0.0074444	-0.59657
0.012400	0.0073728	-0.59367
0.012600	0.0073031	-0.59206
0.012800	0.0072351	-0.59481
0.013000	0.0071687	-0.59258
0.013200	0.0071040	-0.59577
0.013400	0.0070408	-0.59372
0.013600	0.0069792	-0.59436
0.013800	0.0069189	-0.59373
0.014000	0.0068600	-0.59275
0.014200	0.0068025	-0.59363
0.014400	0.0067462	-0.59428
0.014600	0.0066911	-0.59472
0.014800	0.0066372	-0.59490
0.015000	0.0065845	-0.59602
0.015200	0.0065329	-0.59236
0.015400	0.0064824	-0.59424
0.015600	0.0064329	-0.59123
0.015800	0.0063844	-0.59743
0.016000	0.0063369	-0.59049
0.016200	0.0062903	-0.59634
0.016400	0.0062447	-0.59637
0.016600	0.0061998	-0.59219
0.016800	0.0061559	-0.59180
0.017000	0.0061127	-0.59347
0.017200	0.0060704	-0.59655
0.017400	0.0060289	-0.59562
0.017600	0.0059881	-0.59463
0.017800	0.0059480	-0.59189
0.018000	0.0059087	-0.59047
0.018200	0.0058701	-0.59583
0.018400	0.0058321	-0.59570
0.018600	0.0057947	-0.59377
0.018800	0.0057580	-0.59168
0.019000	0.0057220	-0.59269
0.019200	0.0056865	-0.59772
0.019400	0.0056516	-0.59104
0.019600	0.0056173	-0.59756
0.019800	0.0055835	-0.59221
0.020000	0.0055502	-0.59692
0.020200	0.0055175	-0.59122
0.020400	0.0054853	-0.59747
0.020600	0.0054536	-0.59153
0.020800	0.0054224	-0.59142
0.021000	0.0053917	-0.59950
0.021200	0.0053614	-0.59294
0.021400	0.0053316	-0.59461
0.021600	0.0053022	-0.58769
0.021800	0.0052733	-0.59762
0.022000	0.0052447	-0.59689
0.022200	0.0052166	-0.59155
0.022400	0.0051889	-0.59271
0.022600	0.0051616	-0.59599
0.022800	0.0051346	-0.59704
0.023000	0.0051080	-0.59107
0.023200	0.0050818	-0.59183
0.023400	0.0050560	-0.59486
0.023600	0.0050305	-0.59787
0.023800	0.0050053	-0.59134
0.024000	0.0049805	-0.59409
0.024200	0.0049560	-0.59448
0.024400	0.0049319	-0.59243
0.024600	0.0049080	-0.59504
0.024800	0.0048844	-0.59516
0.025000	0.0048612	-0.59284
0.025200	0.0048382	-0.59267
0.025400	0.0048156	-0.59775
0.025600	0.0047932	-0.59249
0.025800	0.0047711	-0.59747
