r (m)	u(r) (m/s)	Log Derivative
0.00020000	0.0039148	1.3175
0.00040000	0.0097580	0.97100
0.00060000	0.014465	1.0194
0.00080000	0.019395	0.70410
0.0010000	0.022694	0.59488
0.0012000	0.025295	0.10282
0.0014000	0.025699	-0.31612
0.0016000	0.024637	-0.60177
0.0018000	0.022951	-0.60199
0.0020000	0.021540	-0.60201
0.0022000	0.020339	-0.60211
0.0024000	0.019301	-0.60158
0.0026000	0.018393	-0.60166
0.0028000	0.017591	-0.60223
0.0030000	0.016875	-0.60230
0.0032000	0.016232	-0.60254
0.0034000	0.015650	-0.60117
0.0036000	0.015121	-0.60244
0.0038000	0.014637	-0.60184
0.0040000	0.014192	-0.60220
0.0042000	0.013781	-0.60292
0.0044000	0.013400	-0.60165
0.0046000	0.013046	-0.60142
0.0048000	0.012716	-0.60097
0.0050000	0.012408	-0.60331
0.0052000	0.012118	-0.60215
0.0054000	0.011846	-0.60259
0.0056000	0.011589	-0.60122
0.0058000	0.011347	-0.60142
0.0060000	0.011118	-0.60094
0.0062000	0.010901	-0.60478
0.0064000	0.010694	-0.60059
0.0066000	0.010498	-0.60112
0.0068000	0.010311	-0.60049
0.0070000	0.010133	-0.60496
0.0072000	0.0099622	-0.60208
0.0074000	0.0097992	-0.60142
0.0076000	0.0096431	-0.60096
0.0078000	0.0094936	-0.60244
0.0080000	0.0093500	-0.60199
0.0082000	0.0092120	-0.60209
0.0084000	0.0090793	-0.60274
0.0086000	0.0089516	-0.60205
0.0088000	0.0088285	-0.60111
0.0090000	0.0087099	-0.60426
0.0092000	0.0085954	-0.59902
0.0094000	0.0084849	-0.60375
0.0096000	0.0083780	-0.60286
0.0098000	0.0082746	-0.60192
0.0100000	0.0081746	-0.60227
0.010200	0.0080777	-0.59897
0.010400	0.0079839	-0.60400
0.010600	0.0078928	-0.60095
0.010800	0.0078046	-0.60404
0.011000	0.0077188	-0.59875
0.011200	0.0076356	-0.60255
0.011400	0.0075546	-0.60533
0.011600	0.0074759	-0.60149
0.011800	0.0073994	-0.59878
0.012000	0.0073249	-0.60368
0.012200	0.0072523	-0.60387
0.012400	0.0071817	-0.60163
0.012600	0.0071129	-0.60078
0.012800	0.0070457	-0.60167
0.013000	0.0069803	-0.60105
0.013200	0.0069164	-0.60324
0.013400	0.0068541	-0.60204
0.013600	0.0067933	-0.60255
0.013800	0.0067338	-0.60177
0.014000	0.0066757	-0.60175
0.014200	0.0066189	-0.60146
0.014400	0.0065634	-0.60088
0.014600	0.0065092	-0.60229
0.014800	0.0064561	-0.60234
0.015000	0.0064042	-0.60451
0.015200	0.0063533	-0.60074
0.015400	0.0063035	-0.60245
0.015600	0.0062547	-0.59935
0.015800	0.0062069	-0.60548
0.016000	0.0061601	-0.59834
0.016200	0.0061142	-0.60549
0.016400	0.0060692	-0.60272
0.016600	0.0060251	-0.60105
0.016800	0.0059818	-0.59917
0.017000	0.0059393	-0.60219
