r (m)	u(r) (m/s)	Log Derivative
0.00020000	0.0055520	1.3435
0.00040000	0.014090	1.3852
0.00060000	0.024705	1.1791
0.00080000	0.034682	0.64056
0.0010000	0.040010	0.13134
0.0012000	0.040980	-0.42434
0.0014000	0.038386	-0.59624
0.0016000	0.035449	-0.59588
0.0018000	0.033046	-0.59568
0.0020000	0.031035	-0.59614
0.0022000	0.029321	-0.59616
0.0024000	0.027839	-0.59562
0.0026000	0.026542	-0.59564
0.0028000	0.025396	-0.59648
0.0030000	0.024372	-0.59591
0.0032000	0.023453	-0.59677
0.0034000	0.022620	-0.59508
0.0036000	0.021863	-0.59649
0.0038000	0.021170	-0.59650
0.0040000	0.020532	-0.59542
0.0042000	0.019944	-0.59695
0.0044000	0.019398	-0.59516
0.0046000	0.018891	-0.59524
0.0048000	0.018418	-0.59673
0.0050000	0.017975	-0.59588
0.0052000	0.017560	-0.59574
0.0054000	0.017170	-0.59686
0.0056000	0.016801	-0.59458
0.0058000	0.016454	-0.59763
0.0060000	0.016124	-0.59572
0.0062000	0.015812	-0.59613
0.0064000	0.015516	-0.59552
0.0066000	0.015234	-0.59584
0.0068000	0.014965	-0.59500
0.0070000	0.014709	-0.59774
0.0072000	0.014464	-0.59526
0.0074000	0.014230	-0.59694
0.0076000	0.014005	-0.59502
0.0078000	0.013790	-0.59490
0.0080000	0.013584	-0.59749
0.0082000	0.013385	-0.59637
0.0084000	0.013194	-0.59434
0.0086000	0.013011	-0.59554
0.0088000	0.012834	-0.59615
0.0090000	0.012663	-0.59891
0.0092000	0.012498	-0.59275
0.0094000	0.012339	-0.59805
0.0096000	0.012185	-0.59728
0.0098000	0.012036	-0.59585
0.0100000	0.011892	-0.59382
0.010200	0.011753	-0.59685
0.010400	0.011617	-0.59687
0.010600	0.011486	-0.59460
0.010800	0.011359	-0.59980
0.011000	0.011235	-0.58829
0.011200	0.011116	-0.59783
0.011400	0.010999	-0.60222
0.011600	0.010885	-0.59399
0.011800	0.010775	-0.59054
0.012000	0.010668	-0.59946
0.012200	0.010563	-0.59896
0.012400	0.010461	-0.59433
0.012600	0.010362	-0.59526
0.012800	0.010265	-0.59352
0.013000	0.010171	-0.59385
0.013200	0.010079	-0.59999
0.013400	0.0099887	-0.59653
0.013600	0.0099009	-0.59615
0.013800	0.0098151	-0.59545
0.014000	0.0097313	-0.59594
0.014200	0.0096493	-0.59465
0.014400	0.0095693	-0.59535
0.014600	0.0094910	-0.59742
0.014800	0.0094142	-0.59693
0.015000	0.0093392	-0.59775
0.015200	0.0092658	-0.59466
0.015400	0.0091939	-0.59587
0.015600	0.0091235	-0.59309
0.015800	0.0090545	-0.60040
0.016000	0.0089868	-0.59239
0.016200	0.0089205	-0.59943
0.016400	0.0088555	-0.59665
0.016600	0.0087918	-0.59549
0.016800	0.0087292	-0.59220
0.017000	0.0086679	-0.59567
0.017200	0.0086077	-0.60012
0.017400	0.0085485	-0.59716
0.017600	0.0084905	-0.59611
0.017800	0.0084335	-0.59377
0.018000	0.0083776	-0.59344
0.018200	0.0083226	-0.59832
0.018400	0.0082685	-0.59539
0.018600	0.0082155	-0.59689
0.018800	0.0081632	-0.59469
0.019000	0.0081119	-0.59360
0.019200	0.0080615	-0.60040
0.019400	0.0080118	-0.59317
0.019600	0.0079630	-0.59860
0.019800	0.0079150	-0.59344
0.020000	0.0078677	-0.59880
0.020200	0.0078212	-0.59455
0.020400	0.0077753	-0.59968
0.020600	0.0077302	-0.59252
0.020800	0.0076859	-0.59534
0.021000	0.0076421	-0.60026
0.021200	0.0075991	-0.59665
0.021400	0.0075566	-0.59502
0.021600	0.0075149	-0.58969
0.021800	0.0074738	-0.59856
0.022000	0.0074332	-0.60102
0.022200	0.0073931	-0.59224
0.022400	0.0073538	-0.59593
0.022600	0.0073149	-0.59653
0.022800	0.0072766	-0.59868
0.023000	0.0072388	-0.59381
0.023200	0.0072015	-0.59571
0.023400	0.0071647	-0.59593
0.023600	0.0071285	-0.59934
0.023800	0.0070927	-0.59401
0.024000	0.0070574	-0.59552
0.024200	0.0070226	-0.59890
0.024400	0.0069882	-0.59301
0.024600	0.0069543	-0.59610
0.024800	0.0069208	-0.59933
0.025000	0.0068877	-0.59301
0.025200	0.0068551	-0.59599
0.025400	0.0068229	-0.59891
0.025600	0.0067911	-0.59604
0.025800	0.0067596	-0.59890
0.026000	0.0067285	-0.59202
0.026200	0.0066979	-0.59654
0.026400	0.0066676	-0.59142
0.026600	0.0066377	-0.60597
0.026800	0.0066080	-0.59052
0.027000	0.0065788	-0.59289
0.027200	0.0065500	-0.59943
0.027400	0.0065214	-0.59364
0.027600	0.0064932	-0.59810
0.027800	0.0064653	-0.60255
0.028000	0.0064377	-0.59022
0.028200	0.0064104	-0.60293
0.028400	0.0063834	-0.58820
0.028600	0.0063568	-0.60081
0.028800	0.0063305	-0.60108
