r (m)	u(r) (m/s)	Log Derivative
0.041000	0.0077910	-0.63089
0.041200	0.0077669	-0.59010
0.041400	0.0077449	-0.62708
0.041600	0.0077218	-0.61078
0.041800	0.0076997	-0.59252
0.042000	0.0076777	-0.58738
0.042200	0.0076566	-0.65028
0.042400	0.0076335	-0.58161
0.042600	0.0076125	-0.58861
0.042800	0.0075914	-0.63427
0.043000	0.0075693	-0.64065
0.043200	0.0075472	-0.57409
0.043400	0.0075272	-0.60460
0.043600	0.0075061	-0.60255
0.043800	0.0074850	-0.59783
0.044000	0.0074649	-0.62379
0.044200	0.0074438	-0.57774
0.044400	0.0074248	-0.64074
0.044600	0.0074037	-0.56687
0.044800	0.0073846	-0.63958
0.045000	0.0073635	-0.55467
0.045200	0.0073454	-0.64769
0.045400	0.0073243	-0.60549
0.045600	0.0073052	-0.60016
0.045800	0.0072861	-0.61594
0.046000	0.0072670	-0.60694
0.046200	0.0072479	-0.57459
0.046400	0.0072298	-0.61119
0.046600	0.0072107	-0.62991
0.046800	0.0071916	-0.58259
0.047000	0.0071735	-0.64024
0.047200	0.0071544	-0.63232
0.047400	0.0071353	-0.59032
0.047600	0.0071172	-0.60162
0.047800	0.0070990	-0.59298
0.048000	0.0070819	-0.58125
0.048200	0.0070648	-0.66747
0.048400	0.0070457	-0.60420
0.048600	0.0070285	-0.59140
0.048800	0.0070114	-0.61977
0.049000	0.0069933	-0.55801
0.049200	0.0069771	-0.64405
0.049400	0.0069590	-0.62287
0.049600	0.0069419	-0.57805
0.049800	0.0069257	-0.63021
0.050000	0.0069086	-0.57888
0.050200	0.0068924	-0.66419
0.050400	0.0068743	-0.56317
0.050600	0.0068591	-0.63891
0.050800	0.0068420	-0.59531
0.051000	0.0068258	-0.60597
0.051200	0.0068096	-0.60385
0.051400	0.0067935	-0.65801
0.051600	0.0067763	-0.56521
0.051800	0.0067611	-0.57801
0.052000	0.0067459	-0.62654
0.052200	0.0067298	-0.64123
0.052400	0.0067136	-0.60537
0.052600	0.0066984	-0.59442
0.052800	0.0066832	-0.59794
0.053000	0.0066680	-0.63853
0.053200	0.0066518	-0.61280
0.053400	0.0066366	-0.62280
0.053600	0.0066214	-0.60496
0.053800	0.0066061	-0.57960
0.054000	0.0065919	-0.62848
0.054200	0.0065767	-0.62649
0.054400	0.0065615	-0.60453
0.054600	0.0065472	-0.60497
0.054800	0.0065330	-0.64171
0.055000	0.0065178	-0.64269
0.055200	0.0065025	-0.59285
0.055400	0.0064883	-0.57314
0.055600	0.0064750	-0.60936
0.055800	0.0064607	-0.60375
0.056000	0.0064465	-0.66209
0.056200	0.0064312	-0.58391
0.056400	0.0064179	-0.64167
0.056600	0.0064036	-0.59607
0.056800	0.0063904	-0.62507
0.057000	0.0063761	-0.60083
0.057200	0.0063628	-0.59854
0.057400	0.0063494	-0.64657
0.057600	0.0063351	-0.64494
0.057800	0.0063208	-0.61706
0.058000	0.0063075	-0.62412
0.058200	0.0062942	-0.62078
0.058400	0.0062808	-0.58828
0.058600	0.0062685	-0.66643
0.058800	0.0062541	-0.63554
0.059000	0.0062407	-0.53722
0.059200	0.0062294	-0.68407
0.059400	0.0062150	-0.57974
0.059600	0.0062026	-0.64583
0.059800	0.0061892	-0.60548
0.060000	0.0061768	-0.60402
0.060200	0.0061644	-0.59528
0.060400	0.0061520	-0.65798
0.060600	0.0061386	-0.65174
0.060800	0.0061251	-0.61326
0.061000	0.0061127	-0.61149
0.061200	0.0061003	-0.64113
0.061400	0.0060878	-0.64295
0.061600	0.0060753	-0.63970
0.061800	0.0060629	-0.57569
0.062000	0.0060514	-0.65169
0.062200	0.0060389	-0.63423
0.062400	0.0060264	-0.58669
0.062600	0.0060148	-0.64632
0.062800	0.0060023	-0.64944
0.063000	0.0059898	-0.59670
0.063200	0.0059782	-0.65969
0.063400	0.0059657	-0.60604
0.063600	0.0059541	-0.61398
0.063800	0.0059425	-0.61010
0.064000	0.0059309	-0.61870
0.064200	0.0059193	-0.63225
0.064400	0.0059077	-0.63623
0.064600	0.0058960	-0.62699
0.064800	0.0058844	-0.68371
0.065000	0.0058717	-0.58632
0.065200	0.0058611	-0.69921
0.065400	0.0058484	-0.60340
0.065600	0.0058377	-0.72411
0.065800	0.0058250	-0.61616
0.066000	0.0058142	-0.60213
0.066200	0.0058035	-0.61917
0.066400	0.0057927	-0.73155
0.066600	0.0057800	-0.62583
0.066800	0.0057692	-0.67719
0.067000	0.0057574	-0.63196
0.067200	0.0057466	-0.63284
0.067400	0.0057357	-0.63385
0.067600	0.0057249	-0.68872
0.067800	0.0057130	-0.64917
0.068000	0.0057021	-0.63777
0.068200	0.0056912	-0.65069
0.068400	0.0056803	-0.66777
0.068600	0.0056693	-0.66011
0.068800	0.0056584	-0.67418
0.069000	0.0056474	-0.66623
0.069200	0.0056364	-0.69226
0.069400	0.0056254	-0.67425
0.069600	0.0056143	-0.68675
0.069800	0.0056033	-0.68411
0.070000	0.0055922	-0.64660
0.070200	0.0055821	-0.69972
0.070400	0.0055709	-0.65697
0.070600	0.0055608	-0.72310
0.070800	0.0055496	-0.65375
0.071000	0.0055394	-0.72885
0.071200	0.0055282	-0.66437
0.071400	0.0055179	-0.72929
0.071600	0.0055067	-0.66086
0.071800	0.0054964	-0.74312
0.072000	0.0054850	-0.68401
0.072200	0.0054747	-0.67640
0.072400	0.0054643	-0.68558
0.072600	0.0054539	-0.76467
0.072800	0.0054425	-0.64781
0.073000	0.0054330	-0.69282
0.073200	0.0054225	-0.72057
0.073400	0.0054120	-0.77301
0.073600	0.0054004	-0.65394
0.073800	0.0053908	-0.74187
0.074000	0.0053802	-0.73643
0.074200	0.0053695	-0.73433
0.074400	0.0053589	-0.73507
0.074600	0.0053481	-0.75955
0.074800	0.0053374	-0.67304
0.075000	0.0053276	-0.76271
0.075200	0.0053168	-0.77479
0.075400	0.0053059	-0.70765
0.075600	0.0052960	-0.78634
0.075800	0.0052851	-0.73184
0.076000	0.0052751	-0.72477
0.076200	0.0052651	-0.81498
0.076400	0.0052540	-0.81773
0.076600	0.0052429	-0.73003
0.076800	0.0052328	-0.83397
0.077000	0.0052216	-0.76790
0.077200	0.0052114	-0.76970
0.077400	0.0052011	-0.76989
0.077600	0.0051908	-0.77402
0.077800	0.0051804	-0.79073
0.078000	0.0051700	-0.77769
0.078200	0.0051595	-0.80441
0.078400	0.0051490	-0.87968
0.078600	0.0051374	-0.73251
0.078800	0.0051278	-0.89039
0.079000	0.0051161	-0.83703
0.079200	0.0051054	-0.84255
0.079400	0.0050946	-0.83531
0.079600	0.0050838	-0.86515
0.079800	0.0050729	-0.86391
0.080000	0.0050620	-0.80357
0.080200	0.0050519	-0.87259
0.080400	0.0050409	-0.87685
0.080600	0.0050297	-0.88804
0.080800	0.0050185	-0.82053
0.081000	0.0050083	-0.90815
0.081200	0.0049969	-0.84304
0.081400	0.0049866	-0.92715
0.081600	0.0049751	-0.94263
0.081800	0.0049636	-0.88027
0.082000	0.0049530	-0.88624
0.082200	0.0049423	-1.0564
0.082400	0.0049295	-0.80938
0.082600	0.0049197	-1.0746
0.082800	0.0049068	-0.91662
0.083000	0.0048958	-0.93731
0.083200	0.0048847	-1.0415
0.083400	0.0048726	-0.94892
0.083600	0.0048614	-0.96004
0.083800	0.0048500	-0.97688
0.084000	0.0048386	-1.0731
0.084200	0.0048262	-1.0050
0.084400	0.0048146	-1.0317
0.084600	0.0048029	-1.0304
0.084800	0.0047911	-1.0544
0.085000	0.0047793	-1.1449
0.085200	0.0047663	-0.97640
0.085400	0.0047552	-1.1930
0.085600	0.0047421	-1.0087
0.085800	0.0047308	-1.1199
0.086000	0.0047184	-1.2423
0.086200	0.0047049	-1.0554
0.086400	0.0046933	-1.2515
0.086600	0.0046796	-1.1778
0.086800	0.0046668	-1.1164
0.087000	0.0046549	-1.2302
0.087200	0.0046418	-1.2394
0.087400	0.0046286	-1.1547
0.087600	0.0046163	-1.3728
0.087800	0.0046019	-1.2120
0.088000	0.0045893	-1.2090
0.088200	0.0045766	-1.4347
0.088400	0.0045618	-1.3620
0.088600	0.0045478	-1.1723
0.088800	0.0045357	-1.4849
0.089000	0.0045204	-1.3098
0.089200	0.0045070	-1.4446
0.089400	0.0044924	-1.3696
0.089600	0.0044787	-1.4762
0.089800	0.0044639	-1.4130
0.090000	0.0044498	-1.5473
0.090200	0.0044347	-1.4668
0.090400	0.0044203	-1.6036
0.090600	0.0044048	-1.5064
0.090800	0.0043901	-1.5296
0.091000	0.0043752	-1.6611
0.091200	0.0043592	-1.7140
0.091400	0.0043430	-1.6376
0.091600	0.0043275	-1.6690
0.091800	0.0043119	-1.6931
0.092000	0.0042961	-1.7166
0.092200	0.0042801	-1.7613
0.092400	0.0042639	-1.7958
0.092600	0.0042475	-1.9260
0.092800	0.0042299	-1.8589
0.093000	0.0042131	-1.8734
0.093200	0.0041961	-1.9163
0.093400	0.0041788	-1.9547
0.093600	0.0041613	-2.1228
0.093800	0.0041425	-2.0422
0.094000	0.0041246	-2.0697
0.094200	0.0041064	-2.1299
0.094400	0.0040879	-2.1738
0.094600	0.0040692	-2.2140
0.094800	0.0040502	-2.2619
0.095000	0.0040310	-2.1823
0.095200	0.0040125	-2.4668
0.095400	0.0039918	-2.2846
0.095600	0.0039727	-2.5689
0.095800	0.0039514	-2.3790
0.096000	0.0039318	-2.5604
0.096200	0.0039108	-2.6304
0.096400	0.0038896	-2.6649
0.096600	0.0038681	-2.6118
0.096800	0.0038473	-2.9108
0.097000	0.0038241	-2.7422
0.097200	0.0038026	-2.9409
0.097400	0.0037798	-2.9883
0.097600	0.0037567	-2.9454
0.097800	0.0037342	-3.1241
0.098000	0.0037103	-3.0828
0.098200	0.0036871	-3.2844
0.098400	0.0036625	-3.3554
0.098600	0.0036376	-3.4607
0.098800	0.0036122	-3.4024
0.099000	0.0035875	-3.6295
0.099200	0.0035614	-3.5865
0.099400	0.0035358	-3.8019
0.099600	0.0035089	-3.7483
0.099800	0.0034825	-3.8588
0.10000	0.0034557	-4.2554
0.10020	0.0034264	-4.0671
0.10040	0.0033987	-4.1794
0.10060	0.0033706	-4.3059
0.10080	0.0033420	-4.5721
0.10100	0.0033118	-4.6958
0.10120	0.0032813	-4.5017
0.10140	0.0032522	-4.9621
0.10160	0.0032206	-4.9387
0.10180	0.0031895	-5.0873
0.10200	0.0031578	-5.3937
0.10220	0.0031247	-5.5577
0.10240	0.0030909	-5.5406
0.10260	0.0030577	-5.7215
0.10280	0.0030238	-5.8874
0.10300	0.0029894	-6.0637
0.10320	0.0029543	-6.2720
0.10340	0.0029187	-6.6616
0.10360	0.0028814	-6.6674
0.10380	0.0028446	-6.9008
0.10400	0.0028070	-7.1380
0.10420	0.0027688	-7.3809
0.10440	0.0027300	-7.8029
0.10460	0.0026894	-7.8968
0.10480	0.0026492	-8.1862
0.10500	0.0026082	-8.4804
0.10520	0.0025665	-8.7716
0.10540	0.0025241	-9.0970
0.10560	0.0024809	-9.4462
0.10580	0.0024370	-9.5778
0.10600	0.0023933	-10.415
0.10620	0.0023467	-10.605
0.10640	0.0023004	-11.027
0.10660	0.0022532	-11.240
0.10680	0.0022061	-11.975
0.10700	0.0021572	-12.495
0.10720	0.0021074	-13.076
0.10740	0.0020567	-13.678
0.10760	0.0020051	-14.297
0.10780	0.0019525	-14.993
0.10800	0.0018990	-15.443
0.10820	0.0018454	-16.825
0.10840	0.0017889	-17.098
0.10860	0.0017334	-18.698
0.10880	0.0016748	-19.069
0.10900	0.0016172	-20.541
0.10920	0.0015575	-21.761
0.10940	0.0014966	-22.760
0.10960	0.0014357	-24.654
0.10980	0.0013726	-26.355
0.11000	0.0013083	-27.813
0.11020	0.0012438	-30.410
0.11040	0.0011771	-32.847
0.11060	0.0011092	-35.677
0.11080	0.0010400	-38.352
0.11100	0.00097044	-42.115
0.11120	0.00089961	-47.221
0.11140	0.00082642	-52.703
0.11160	0.00075185	-59.511
0.11180	0.00067588	-67.097
0.11200	0.00059948	-77.991
0.11220	0.00052161	
