r (m)	u(r) (m/s)	Log Derivative
0.039600	0.0014567	-1.1184
0.039800	0.0014485	-0.98290
0.040000	0.0014414	-0.96865
0.040200	0.0014343	-1.0116
0.040400	0.0014271	-0.97624
0.040600	0.0014200	-1.0802
0.040800	0.0014128	-1.0608
0.041000	0.0014057	-1.0808
0.041200	0.0013985	-1.0491
0.041400	0.0013914	-0.93135
0.041600	0.0013852	-1.0417
0.041800	0.0013781	-1.0892
0.042000	0.0013709	-0.95435
0.042200	0.0013647	-1.1433
0.042400	0.0013576	-0.99608
0.042600	0.0013514	-1.1176
0.042800	0.0013442	-0.99511
0.043000	0.0013381	-1.0101
0.043200	0.0013319	-1.0200
0.043400	0.0013257	-1.0225
0.043600	0.0013195	-1.1399
0.043800	0.0013124	-1.0306
0.044000	0.0013062	-0.88137
0.044200	0.0013010	-1.0250
0.044400	0.0012948	-1.1033
0.044600	0.0012886	-1.1193
0.044800	0.0012824	-1.0534
0.045000	0.0012762	-0.88589
0.045200	0.0012710	-1.1331
0.045400	0.0012648	-1.1100
0.045600	0.0012586	-0.91949
0.045800	0.0012533	-1.1189
0.046000	0.0012471	-0.97110
0.046200	0.0012419	-1.1582
0.046400	0.0012357	-0.95342
0.046600	0.0012304	-0.99911
0.046800	0.0012252	-1.2204
0.047000	0.0012190	-1.0065
0.047200	0.0012137	-1.0294
0.047400	0.0012085	-1.0899
0.047600	0.0012032	-1.0564
0.047800	0.0011980	-1.0188
0.048000	0.0011927	-1.0446
0.048200	0.0011874	-1.0113
0.048400	0.0011822	-1.1365
0.048600	0.0011769	-1.1185
0.048800	0.0011716	-1.1344
0.049000	0.0011664	-1.1591
0.049200	0.0011611	-1.1536
0.049400	0.0011558	-0.92220
0.049600	0.0011515	-1.1040
0.049800	0.0011462	-1.1854
0.050000	0.0011409	-0.91357
0.050200	0.0011366	-1.1195
0.050400	0.0011313	-0.96125
0.050600	0.0011269	-1.1632
0.050800	0.0011216	-1.0144
0.051000	0.0011173	-1.2452
0.051200	0.0011120	-1.0717
0.051400	0.0011076	-0.93332
0.051600	0.0011033	-1.3483
0.051800	0.0010979	-1.1038
0.052000	0.0010936	-1.1201
0.052200	0.0010892	-1.3396
0.052400	0.0010838	-0.96470
0.052600	0.0010795	-1.1077
0.052800	0.0010751	-1.1268
0.053000	0.0010707	-1.1575
0.053200	0.0010663	-1.1159
0.053400	0.0010619	-1.0268
0.053600	0.0010575	-1.1353
0.053800	0.0010531	-1.1902
0.054000	0.0010487	-1.0490
0.054200	0.0010443	-1.2026
0.054400	0.0010398	-1.1119
0.054600	0.0010354	-1.1173
0.054800	0.0010309	-1.2308
0.055000	0.0010265	-1.1502
0.055200	0.0010220	-1.1394
0.055400	0.0010176	-1.0290
0.055600	0.0010141	-1.3185
0.055800	0.0010096	-1.2236
0.056000	0.0010051	-0.90805
0.056200	0.0010016	-1.2221
0.056400	0.00099711	-1.3122
0.056600	0.00099260	-1.0842
0.056800	0.00098907	-1.3311
0.057000	0.00098454	-0.93023
0.057200	0.00098100	-1.2788
0.057400	0.00097645	-1.0538
0.057600	0.00097290	-1.4485
0.057800	0.00096833	-1.0769
0.058000	0.00096476	-1.3565
0.058200	0.00096017	-0.99384
0.058400	0.00095658	-1.4626
0.058600	0.00095197	-1.1486
0.058800	0.00094836	-1.2050
0.059000	0.00094474	-1.4244
0.059200	0.00094010	-1.1905
0.059400	0.00093646	-1.2357
0.059600	0.00093281	-1.0937
0.059800	0.00092914	-1.4206
0.060000	0.00092447	-1.2357
0.060200	0.00092078	-1.1612
0.060400	0.00091709	-1.2873
0.060600	0.00091338	-1.2464
0.060800	0.00090966	-1.6640
0.061000	0.00090493	-1.2053
0.061200	0.00090118	-1.2107
0.061400	0.00089743	-1.3090
0.061600	0.00089366	-1.2251
0.061800	0.00088988	-1.3310
0.062000	0.00088609	-1.3424
0.062200	0.00088228	-1.3412
0.062400	0.00087847	-1.4591
0.062600	0.00087464	-1.4350
0.062800	0.00087079	-1.3242
0.063000	0.00086693	-1.4165
0.063200	0.00086306	-1.4413
0.063400	0.00085918	-1.1656
0.063600	0.00085627	-1.5062
0.063800	0.00085236	-1.3922
0.064000	0.00084843	-1.4150
0.064200	0.00084449	-1.5599
0.064400	0.00084053	-1.5383
0.064600	0.00083655	-1.1726
0.064800	0.00083356	-1.5098
0.065000	0.00082955	-1.5501
0.065200	0.00082553	-1.2119
