r (m)	u(r) (m/s)	Log Derivative
0.040400	0.0056398	-0.66750
0.040600	0.0056212	-0.66460
0.040800	0.0056029	-0.66933
0.041000	0.0055846	-0.66683
0.041200	0.0055665	-0.66526
0.041400	0.0055486	-0.66884
0.041600	0.0055307	-0.66822
0.041800	0.0055130	-0.66600
0.042000	0.0054955	-0.66961
0.042200	0.0054781	-0.66741
0.042400	0.0054608	-0.66765
0.042600	0.0054437	-0.66877
0.042800	0.0054267	-0.66810
0.043000	0.0054098	-0.66886
0.043200	0.0053930	-0.66687
0.043400	0.0053765	-0.67113
0.043600	0.0053599	-0.66837
0.043800	0.0053435	-0.66914
0.044000	0.0053273	-0.66849
0.044200	0.0053111	-0.67248
0.044400	0.0052950	-0.66914
0.044600	0.0052791	-0.67079
0.044800	0.0052633	-0.66863
0.045000	0.0052477	-0.67215
0.045200	0.0052320	-0.67199
0.045400	0.0052165	-0.67061
0.045600	0.0052012	-0.66932
0.045800	0.0051860	-0.67174
0.046000	0.0051708	-0.67242
0.046200	0.0051557	-0.67226
0.046400	0.0051408	-0.67450
0.046600	0.0051259	-0.67183
0.046800	0.0051112	-0.67338
0.047000	0.0050965	-0.67636
0.047200	0.0050819	-0.67144
0.047400	0.0050675	-0.67746
0.047600	0.0050531	-0.67402
0.047800	0.0050388	-0.67622
0.048000	0.0050246	-0.67236
0.048200	0.0050106	-0.67883
0.048400	0.0049965	-0.67715
0.048600	0.0049826	-0.67518
0.048800	0.0049688	-0.68015
0.049000	0.0049550	-0.67607
0.049200	0.0049413	-0.67913
0.049400	0.0049278	-0.67894
0.049600	0.0049143	-0.68041
0.049800	0.0049008	-0.68122
0.050000	0.0048875	-0.68036
0.050200	0.0048742	-0.68154
0.050400	0.0048610	-0.68208
0.050600	0.0048479	-0.68319
0.050800	0.0048348	-0.68483
0.051000	0.0048219	-0.68519
0.051200	0.0048089	-0.68615
0.051400	0.0047961	-0.68598
0.051600	0.0047833	-0.68766
0.051800	0.0047706	-0.68527
0.052000	0.0047580	-0.69188
0.052200	0.0047454	-0.68770
0.052400	0.0047330	-0.69258
0.052600	0.0047205	-0.69016
0.052800	0.0047081	-0.69252
0.053000	0.0046958	-0.69368
0.053200	0.0046836	-0.69420
0.053400	0.0046714	-0.69864
0.053600	0.0046592	-0.69505
0.053800	0.0046472	-0.70089
0.054000	0.0046351	-0.69908
0.054200	0.0046231	-0.70386
0.054400	0.0046112	-0.70244
0.054600	0.0045993	-0.70088
0.054800	0.0045875	-0.70589
0.055000	0.0045757	-0.71046
0.055200	0.0045640	-0.70508
0.055400	0.0045523	-0.71100
0.055600	0.0045407	-0.71469
0.055800	0.0045290	-0.71185
0.056000	0.0045175	-0.71611
0.056200	0.0045060	-0.71879
0.056400	0.0044945	-0.72109
0.056600	0.0044831	-0.72146
0.056800	0.0044717	-0.72143
0.057000	0.0044603	-0.72915
0.057200	0.0044490	-0.72847
0.057400	0.0044377	-0.72849
0.057600	0.0044264	-0.73581
0.057800	0.0044152	-0.73495
0.058000	0.0044040	-0.74207
0.058200	0.0043927	-0.74084
0.058400	0.0043816	-0.74120
0.058600	0.0043705	-0.75110
0.058800	0.0043593	-0.75032
0.059000	0.0043482	-0.75342
0.059200	0.0043371	-0.75640
0.059400	0.0043261	-0.75968
0.059600	0.0043151	-0.76317
0.059800	0.0043040	-0.76821
0.060000	0.0042930	-0.77346
0.060200	0.0042820	-0.77573
0.060400	0.0042710	-0.78182
0.060600	0.0042600	-0.78452
0.060800	0.0042490	-0.78830
0.061000	0.0042380	-0.79103
0.061200	0.0042270	-0.79927
0.061400	0.0042160	-0.80249
0.061600	0.0042050	-0.80833
0.061800	0.0041940	-0.81538
0.062000	0.0041830	-0.81774
0.062200	0.0041720	-0.82644
0.062400	0.0041609	-0.82849
0.062600	0.0041499	-0.83884
0.062800	0.0041388	-0.84292
0.063000	0.0041277	-0.84910
0.063200	0.0041166	-0.85587
0.063400	0.0041055	-0.86731
0.063600	0.0040943	-0.86977
0.063800	0.0040832	-0.88193
0.064000	0.0040719	-0.88446
0.064200	0.0040607	-0.89468
0.064400	0.0040494	-0.90604
0.064600	0.0040380	-0.91647
0.064800	0.0040266	-0.92132
0.065000	0.0040152	-0.93124
0.065200	0.0040037	-0.94286
0.065400	0.0039922	-0.95097
0.065600	0.0039806	-0.96507
0.065800	0.0039689	-0.97038
0.066000	0.0039573	-0.98968
0.066200	0.0039454	-0.99731
0.066400	0.0039336	-1.0082
0.066600	0.0039217	-1.0235
0.066800	0.0039097	-1.0359
0.067000	0.0038976	-1.0545
0.067200	0.0038853	-1.0622
0.067400	0.0038731	-1.0826
0.067600	0.0038607	-1.0940
0.067800	0.0038482	-1.1115
0.068000	0.0038357	-1.1289
0.068200	0.0038230	-1.1443
0.068400	0.0038102	-1.1681
0.068600	0.0037972	-1.1789
0.068800	0.0037842	-1.2026
0.069000	0.0037710	-1.2231
0.069200	0.0037577	-1.2466
0.069400	0.0037442	-1.2651
0.069600	0.0037306	-1.2876
0.069800	0.0037168	-1.3157
0.070000	0.0037028	-1.3350
0.070200	0.0036888	-1.3597
0.070400	0.0036745	-1.3919
0.070600	0.0036600	-1.4137
0.070800	0.0036454	-1.4486
0.071000	0.0036306	-1.4767
0.071200	0.0036155	-1.5043
0.071400	0.0036003	-1.5373
0.071600	0.0035849	-1.5713
0.071800	0.0035692	-1.6083
0.072000	0.0035532	-1.6466
0.072200	0.0035370	-1.6837
0.072400	0.0035206	-1.7179
0.072600	0.0035040	-1.7627
0.072800	0.0034870	-1.8052
0.073000	0.0034698	-1.8492
0.073200	0.0034523	-1.8972
0.073400	0.0034345	-1.9459
0.073600	0.0034163	-1.9942
0.073800	0.0033979	-2.0521
0.074000	0.0033791	-2.1009
0.074200	0.0033600	-2.1580
0.074400	0.0033405	-2.2202
0.074600	0.0033206	-2.2823
0.074800	0.0033004	-2.3539
0.075000	0.0032797	-2.4147
0.075200	0.0032587	-2.4856
0.075400	0.0032373	-2.5591
0.075600	0.0032154	-2.6434
0.075800	0.0031930	-2.7172
0.076000	0.0031702	-2.8077
0.076200	0.0031469	-2.8916
0.076400	0.0031232	-2.9913
0.076600	0.0030988	-3.0880
0.076800	0.0030740	-3.1832
0.077000	0.0030486	-3.2983
0.077200	0.0030227	-3.4056
0.077400	0.0029962	-3.5255
0.077600	0.0029690	-3.6486
0.077800	0.0029413	-3.7846
0.078000	0.0029128	-3.9199
0.078200	0.0028837	-4.0627
0.078400	0.0028540	-4.2137
0.078600	0.0028235	-4.3721
0.078800	0.0027923	-4.5453
0.079000	0.0027603	-4.7206
0.079200	0.0027276	-4.9052
0.079400	0.0026940	-5.1106
0.079600	0.0026596	-5.3231
0.079800	0.0026243	-5.5333
0.080000	0.0025882	-5.7840
0.080200	0.0025511	-6.0264
0.080400	0.0025131	-6.2934
0.080600	0.0024741	-6.5793
0.080800	0.0024341	-6.8784
0.081000	0.0023931	-7.2034
0.081200	0.0023509	-7.5447
0.081400	0.0023077	-7.9147
0.081600	0.0022633	-8.3033
0.081800	0.0022178	-8.7371
0.082000	0.0021709	-9.1790
0.082200	0.0021229	-9.6774
0.082400	0.0020736	-10.208
0.082600	0.0020229	-10.791
0.082800	0.0019708	-11.403
0.083000	0.0019173	-12.095
0.083200	0.0018623	-12.826
0.083400	0.0018058	-13.649
0.083600	0.0017478	-14.536
0.083800	0.0016881	-15.538
0.084000	0.0016267	-16.620
0.084200	0.0015637	-17.866
0.084400	0.0014988	-19.223
0.084600	0.0014321	-20.786
0.084800	0.0013635	-22.553
0.085000	0.0012930	-24.560
