r (m)	u(r) (m/s)	Log Derivative
0.00020000	0.010952	0.79047
0.00040000	0.018943	0.81125
0.00060000	0.026321	1.0122
0.00080000	0.035218	0.66229
0.0010000	0.040827	0.57615
0.0012000	0.045349	0.38785
0.0014000	0.048143	0.043737
0.0016000	0.048425	-0.070068
0.0018000	0.048027	-0.60469
0.0020000	0.045063	-0.66403
0.0022000	0.042299	-0.66403
0.0024000	0.039924	-0.66402
0.0026000	0.037858	-0.66392
0.0028000	0.036040	-0.66415
0.0030000	0.034426	-0.66382
0.0032000	0.032982	-0.66406
0.0034000	0.031681	-0.66409
0.0036000	0.030501	-0.66394
0.0038000	0.029425	-0.66407
0.0040000	0.028440	-0.66404
0.0042000	0.027533	-0.66378
0.0044000	0.026696	-0.66425
0.0046000	0.025919	-0.66380
0.0048000	0.025197	-0.66415
0.0050000	0.024523	-0.66377
0.0052000	0.023893	-0.66430
0.0054000	0.023302	-0.66390
0.0056000	0.022746	-0.66412
0.0058000	0.022222	-0.66374
0.0060000	0.021727	-0.66419
0.0062000	0.021259	-0.66395
0.0064000	0.020816	-0.66375
0.0066000	0.020395	-0.66439
0.0068000	0.019994	-0.66406
0.0070000	0.019613	-0.66394
0.0072000	0.019250	-0.66377
0.0074000	0.018903	-0.66380
0.0076000	0.018571	-0.66420
0.0078000	0.018254	-0.66389
0.0080000	0.017949	-0.66412
0.0082000	0.017657	-0.66371
0.0084000	0.017377	-0.66434
0.0086000	0.017108	-0.66365
0.0088000	0.016849	-0.66467
0.0090000	0.016599	-0.66353
0.0092000	0.016358	-0.66383
0.0094000	0.016127	-0.66407
0.0096000	0.015903	-0.66459
0.0098000	0.015686	-0.66345
0.0100000	0.015477	-0.66431
0.010200	0.015275	-0.66378
0.010400	0.015080	-0.66378
0.010600	0.014890	-0.66474
0.010800	0.014706	-0.66344
0.011000	0.014528	-0.66389
0.011200	0.014355	-0.66402
0.011400	0.014188	-0.66474
0.011600	0.014025	-0.66391
0.011800	0.013866	-0.66397
0.012000	0.013713	-0.66416
0.012200	0.013563	-0.66375
0.012400	0.013417	-0.66373
0.012600	0.013275	-0.66387
0.012800	0.013137	-0.66385
0.013000	0.013003	-0.66425
0.013200	0.012872	-0.66379
0.013400	0.012744	-0.66426
0.013600	0.012619	-0.66449
0.013800	0.012497	-0.66311
0.014000	0.012379	-0.66481
0.014200	0.012262	-0.66350
0.014400	0.012149	-0.66453
0.014600	0.012038	-0.66334
0.014800	0.011930	-0.66387
0.015000	0.011824	-0.66436
0.015200	0.011721	-0.66433
0.015400	0.011619	-0.66361
0.015600	0.011520	-0.66480
0.015800	0.011423	-0.66338
0.016000	0.011328	-0.66448
0.016200	0.011235	-0.66427
0.016400	0.011144	-0.66386
0.016600	0.011055	-0.66420
0.016800	0.010967	-0.66283
0.017000	0.010881	-0.66501
0.017200	0.010797	-0.66363
0.017400	0.010714	-0.66426
0.017600	0.010633	-0.66418
0.017800	0.010554	-0.66315
0.018000	0.010476	-0.66426
0.018200	0.010399	-0.66355
0.018400	0.010324	-0.66531
0.018600	0.010250	-0.66341
0.018800	0.010178	-0.66375
0.019000	0.010107	-0.66369
0.019200	0.010037	-0.66533
0.019400	0.0099676	-0.66343
0.019600	0.0099000	-0.66413
0.019800	0.0098335	-0.66428
0.020000	0.0097680	-0.66395
0.020200	0.0097037	-0.66441
0.020400	0.0096404	-0.66364
0.020600	0.0095782	-0.66315
0.020800	0.0095170	-0.66487
0.021000	0.0094567	-0.66393
0.021200	0.0093973	-0.66409
0.021400	0.0093389	-0.66453
0.021600	0.0092814	-0.66320
0.021800	0.0092248	-0.66432
0.022000	0.0091690	-0.66452
0.022200	0.0091140	-0.66305
0.022400	0.0090600	-0.66427
0.022600	0.0090067	-0.66383
0.022800	0.0089541	-0.66523
0.023000	0.0089023	-0.66303
0.023200	0.0088513	-0.66461
0.023400	0.0088010	-0.66500
0.023600	0.0087513	-0.66394
0.023800	0.0087024	-0.66287
0.024000	0.0086542	-0.66422
0.024200	0.0086067	-0.66522
0.024400	0.0085597	-0.66386
0.024600	0.0085134	-0.66396
0.024800	0.0084678	-0.66360
0.025000	0.0084228	-0.66431
0.025200	0.0083783	-0.66502
0.025400	0.0083344	-0.66397
0.025600	0.0082911	-0.66401
0.025800	0.0082483	-0.66424
0.026000	0.0082061	-0.66422
0.026200	0.0081645	-0.66303
0.026400	0.0081234	-0.66486
0.026600	0.0080828	-0.66351
0.026800	0.0080427	-0.66487
0.027000	0.0080030	-0.66387
0.027200	0.0079639	-0.66476
0.027400	0.0079252	-0.66536
0.027600	0.0078870	-0.66391
0.027800	0.0078493	-0.66398
0.028000	0.0078120	-0.66338
0.028200	0.0077752	-0.66568
0.028400	0.0077387	-0.66427
0.028600	0.0077027	-0.66299
0.028800	0.0076672	-0.66517
0.029000	0.0076320	-0.66396
0.029200	0.0075972	-0.66392
0.029400	0.0075629	-0.66521
0.029600	0.0075289	-0.66556
0.029800	0.0074952	-0.66439
0.030000	0.0074620	-0.66394
0.030200	0.0074291	-0.66404
0.030400	0.0073966	-0.66451
0.030600	0.0073645	-0.66496
0.030800	0.0073326	-0.66451
0.031000	0.0073012	-0.66504
0.031200	0.0072700	-0.66463
0.031400	0.0072392	-0.66336
0.031600	0.0072088	-0.66463
