r (m)	u(r) (m/s)	Log Derivative
0.00020000	0.011647	1.0796
0.00040000	0.024616	0.79261
0.00060000	0.033946	0.79539
0.00080000	0.042674	0.78643
0.0010000	0.050860	0.32060
0.0012000	0.053921	0.030673
0.0014000	0.054177	-0.16118
0.0016000	0.053023	-0.64791
0.0018000	0.049128	-0.67502
0.0020000	0.045755	-0.67509
0.0022000	0.042904	-0.67495
0.0024000	0.040457	-0.67505
0.0026000	0.038329	-0.67500
0.0028000	0.036458	-0.67491
0.0030000	0.034800	-0.67493
0.0032000	0.033316	-0.67507
0.0034000	0.031980	-0.67514
0.0036000	0.030770	-0.67483
0.0038000	0.029667	-0.67511
0.0040000	0.028658	-0.67497
0.0042000	0.027729	-0.67485
0.0044000	0.026872	-0.67509
0.0046000	0.026078	-0.67486
0.0048000	0.025339	-0.67535
0.0050000	0.024650	-0.67501
0.0052000	0.024006	-0.67484
0.0054000	0.023403	-0.67506
0.0056000	0.022835	-0.67481
0.0058000	0.022301	-0.67492
0.0060000	0.021796	-0.67516
0.0062000	0.021319	-0.67508
0.0064000	0.020867	-0.67519
0.0066000	0.020438	-0.67454
0.0068000	0.020030	-0.67530
0.0070000	0.019642	-0.67480
0.0072000	0.019272	-0.67509
0.0074000	0.018919	-0.67487
0.0076000	0.018582	-0.67505
0.0078000	0.018259	-0.67492
0.0080000	0.017949	-0.67548
0.0082000	0.017652	-0.67475
0.0084000	0.017368	-0.67526
0.0086000	0.017094	-0.67475
0.0088000	0.016831	-0.67523
0.0090000	0.016577	-0.67505
0.0092000	0.016333	-0.67467
0.0094000	0.016098	-0.67490
0.0096000	0.015871	-0.67532
0.0098000	0.015651	-0.67501
0.0100000	0.015439	-0.67447
0.010200	0.015235	-0.67500
0.010400	0.015036	-0.67499
0.010600	0.014844	-0.67528
0.010800	0.014658	-0.67467
0.011000	0.014478	-0.67498
0.011200	0.014303	-0.67544
0.011400	0.014133	-0.67507
0.011600	0.013968	-0.67476
0.011800	0.013807	-0.67481
0.012000	0.013652	-0.67541
0.012200	0.013500	-0.67469
0.012400	0.013353	-0.67502
0.012600	0.013209	-0.67498
0.012800	0.013070	-0.67553
0.013000	0.012934	-0.67487
0.013200	0.012801	-0.67445
0.013400	0.012672	-0.67508
0.013600	0.012546	-0.67520
0.013800	0.012423	-0.67487
0.014000	0.012303	-0.67540
0.014200	0.012185	-0.67488
0.014400	0.012071	-0.67563
0.014600	0.011959	-0.67434
0.014800	0.011850	-0.67574
0.015000	0.011743	-0.67451
0.015200	0.011638	-0.67498
0.015400	0.011536	-0.67451
0.015600	0.011436	-0.67558
0.015800	0.011338	-0.67536
0.016000	0.011242	-0.67484
0.016200	0.011148	-0.67441
0.016400	0.011056	-0.67491
0.016600	0.010966	-0.67590
0.016800	0.010878	-0.67447
0.017000	0.010791	-0.67500
0.017200	0.010707	-0.67567
0.017400	0.010623	-0.67440
0.017600	0.010542	-0.67468
0.017800	0.010462	-0.67608
0.018000	0.010383	-0.67458
0.018200	0.010306	-0.67542
0.018400	0.010230	-0.67489
0.018600	0.010156	-0.67478
0.018800	0.010083	-0.67497
0.019000	0.010011	-0.67526
0.019200	0.0099403	-0.67523
0.019400	0.0098710	-0.67389
0.019600	0.0098030	-0.67601
0.019800	0.0097359	-0.67486
0.020000	0.0096701	-0.67445
0.020200	0.0096054	-0.67573
0.020400	0.0095417	-0.67424
0.020600	0.0094791	-0.67504
0.020800	0.0094175	-0.67593
0.021000	0.0093568	-0.67440
0.021200	0.0092972	-0.67537
0.021400	0.0092384	-0.67463
0.021600	0.0091806	-0.67603
0.021800	0.0091236	-0.67486
0.022000	0.0090675	-0.67496
0.022200	0.0090123	-0.67416
0.022400	0.0089580	-0.67607
0.022600	0.0089043	-0.67498
0.022800	0.0088515	-0.67538
0.023000	0.0087994	-0.67449
0.023200	0.0087482	-0.67572
0.023400	0.0086976	-0.67559
0.023600	0.0086477	-0.67445
0.023800	0.0085987	-0.67586
0.024000	0.0085502	-0.67370
0.024200	0.0085025	-0.67478
0.024400	0.0084554	-0.67560
0.024600	0.0084089	-0.67468
0.024800	0.0083631	-0.67636
0.025000	0.0083178	-0.67395
0.025200	0.0082732	-0.67551
0.025400	0.0082292	-0.67571
0.025600	0.0081857	-0.67486
0.025800	0.0081428	-0.67474
0.026000	0.0081005	-0.67542
0.026200	0.0080587	-0.67607
0.026400	0.0080173	-0.67528
0.026600	0.0079766	-0.67420
0.026800	0.0079364	-0.67545
0.027000	0.0078967	-0.67556
0.027200	0.0078574	-0.67537
0.027400	0.0078186	-0.67434
0.027600	0.0077803	-0.67633
0.027800	0.0077424	-0.67456
0.028000	0.0077051	-0.67672
