Time t (s)	R(t) (m)	Log Derivative
0.22700	0.064579	0.47824
0.22800	0.064715	0.52566
0.22900	0.064864	0.52238
0.23000	0.065012	0.47163
0.23100	0.065145	0.51304
0.23200	0.065290	0.51552
0.23300	0.065435	0.52246
0.23400	0.065581	0.46588
0.23500	0.065711	0.50955
0.23600	0.065854	0.51942
0.23700	0.065999	0.53328
0.23800	0.066147	0.46730
0.23900	0.066277	0.55332
0.24000	0.066430	0.49690
0.24100	0.066567	0.50933
0.24200	0.066708	0.47664
0.24300	0.066839	0.53991
0.24400	0.066988	0.49700
0.24500	0.067124	0.48096
0.24600	0.067256	0.53069
0.24700	0.067400	0.52660
0.24800	0.067544	0.49945
0.24900	0.067680	0.51211
0.25000	0.067819	0.46657
0.25100	0.067945	0.52070
0.25200	0.068086	0.53139
0.25300	0.068230	0.47746
0.25400	0.068358	0.49320
0.25500	0.068491	0.51004
0.25600	0.068628	0.53957
0.25700	0.068772	0.49501
0.25800	0.068905	0.48424
0.25900	0.069034	0.51544
0.26000	0.069171	0.54525
0.26100	0.069316	0.49048
0.26200	0.069446	0.50386
0.26300	0.069580	0.52295
0.26400	0.069718	0.51301
0.26500	0.069853	0.50867
0.26600	0.069987	0.45609
0.26700	0.070107	0.50912
0.26800	0.070241	0.51693
0.26900	0.070376	0.51145
0.27000	0.070510	0.50040
0.27100	0.070640	0.50547
0.27200	0.070772	0.53437
0.27300	0.070911	0.50465
0.27400	0.071042	0.49921
0.27500	0.071171	0.50755
0.27600	0.071302	0.50318
0.27700	0.071432	0.49178
0.27800	0.071559	0.53265
0.27900	0.071696	0.49512
0.28000	0.071823	0.49555
0.28100	0.071950	0.50121
0.28200	0.072078	0.51283
0.28300	0.072209	0.52281
0.28400	0.072342	0.53180
0.28500	0.072478	0.46586
0.28600	0.072596	0.53955
0.28700	0.072733	0.49128
0.28800	0.072857	0.50294
0.28900	0.072984	0.54183
0.29000	0.073121	0.46279
0.29100	0.073238	0.50985
0.29200	0.073366	0.54840
0.29300	0.073504	0.50334
0.29400	0.073630	0.48731
0.29500	0.073752	0.50231
0.29600	0.073877	0.48834
0.29700	0.073999	0.52169
0.29800	0.074129	0.53569
0.29900	0.074262	0.47528
0.30000	0.074380	0.50931
0.30100	0.074506	0.49853
0.30200	0.074629	0.52596
0.30300	0.074759	0.48120
0.30400	0.074878	0.55762
