r (m)	u(r) (m/s)	Log Derivative
0.040000	0.0049981	-0.60112
0.040200	0.0049831	-0.60700
0.040400	0.0049680	-0.61298
0.040600	0.0049531	-0.60656
0.040800	0.0049384	-0.60841
0.041000	0.0049237	-0.60189
0.041200	0.0049092	-0.61630
0.041400	0.0048947	-0.60945
0.041600	0.0048804	-0.60709
0.041800	0.0048662	-0.60458
0.042000	0.0048521	-0.60627
0.042200	0.0048380	-0.61218
0.042400	0.0048241	-0.60945
0.042600	0.0048103	-0.60245
0.042800	0.0047967	-0.62175
0.043000	0.0047830	-0.60143
0.043200	0.0047695	-0.61159
0.043400	0.0047561	-0.60879
0.043600	0.0047428	-0.61045
0.043800	0.0047295	-0.61640
0.044000	0.0047164	-0.60464
0.044200	0.0047033	-0.61513
0.044400	0.0046903	-0.60726
0.044600	0.0046775	-0.61365
0.044800	0.0046646	-0.61479
0.045000	0.0046520	-0.62130
0.045200	0.0046393	-0.59955
0.045400	0.0046268	-0.61479
0.045600	0.0046143	-0.62076
0.045800	0.0046020	-0.61328
0.046000	0.0045896	-0.61891
0.046200	0.0045774	-0.62076
0.046400	0.0045652	-0.61203
0.046600	0.0045532	-0.61377
0.046800	0.0045412	-0.61015
0.047000	0.0045293	-0.62636
0.047200	0.0045174	-0.60834
0.047400	0.0045056	-0.61910
0.047600	0.0044939	-0.61535
0.047800	0.0044823	-0.63201
0.048000	0.0044707	-0.61327
0.048200	0.0044592	-0.62980
0.048400	0.0044477	-0.60570
0.048600	0.0044364	-0.62755
0.048800	0.0044250	-0.61813
0.049000	0.0044138	-0.63516
0.049200	0.0044026	-0.62131
0.049400	0.0043914	-0.63261
0.049600	0.0043803	-0.61340
0.049800	0.0043693	-0.62439
0.050000	0.0043584	-0.63182
0.050200	0.0043474	-0.63773
0.050400	0.0043366	-0.62335
0.050600	0.0043258	-0.63504
0.050800	0.0043151	-0.62645
0.051000	0.0043043	-0.63223
0.051200	0.0042937	-0.63386
0.051400	0.0042831	-0.63529
0.051600	0.0042725	-0.64763
0.051800	0.0042620	-0.63247
0.052000	0.0042515	-0.64446
0.052200	0.0042411	-0.62958
0.052400	0.0042307	-0.64145
0.052600	0.0042204	-0.64299
0.052800	0.0042101	-0.66203
0.053000	0.0041998	-0.63998
0.053200	0.0041896	-0.64145
0.053400	0.0041794	-0.66035
0.053600	0.0041692	-0.65558
0.053800	0.0041591	-0.65060
0.054000	0.0041491	-0.65868
0.054200	0.0041390	-0.65378
0.054400	0.0041290	-0.65545
0.054600	0.0041190	-0.68185
0.054800	0.0041089	-0.65197
0.055000	0.0040990	-0.67183
0.055200	0.0040891	-0.67325
0.055400	0.0040792	-0.67501
0.055600	0.0040693	-0.66967
0.055800	0.0040595	-0.67832
0.056000	0.0040496	-0.67298
0.056200	0.0040398	-0.70109
0.056400	0.0040299	-0.67634
0.056600	0.0040201	-0.69019
0.056800	0.0040104	-0.69905
0.057000	0.0040006	-0.70082
0.057200	0.0039908	-0.70245
0.057400	0.0039810	-0.69696
0.057600	0.0039713	-0.72679
0.057800	0.0039615	-0.70763
0.058000	0.0039517	-0.73024
0.058200	0.0039419	-0.70395
0.058400	0.0039322	-0.73389
0.058600	0.0039224	-0.73576
0.058800	0.0039126	-0.73768
0.059000	0.0039028	-0.73955
0.059200	0.0038930	-0.76362
0.059400	0.0038832	-0.75091
0.059600	0.0038733	-0.75268
0.059800	0.0038634	-0.76960
0.060000	0.0038536	-0.77957
0.060200	0.0038437	-0.78934
0.060400	0.0038337	-0.78361
0.060600	0.0038238	-0.80139
0.060800	0.0038137	-0.79575
0.061000	0.0038037	-0.80572
0.061200	0.0037936	-0.80769
0.061400	0.0037835	-0.84375
0.061600	0.0037733	-0.84592
0.061800	0.0037631	-0.83058
0.062000	0.0037528	-0.85874
0.062200	0.0037425	-0.86127
0.062400	0.0037322	-0.88035
0.062600	0.0037217	-0.88294
0.062800	0.0037112	-0.89391
0.063000	0.0037006	-0.92532
0.063200	0.0036900	-0.91603
0.063400	0.0036792	-0.91864
0.063600	0.0036684	-0.95985
0.063800	0.0036575	-0.97162
0.064000	0.0036465	-0.98354
0.064200	0.0036354	-0.95560
