r (m)	u(r) (m/s)	Log Derivative
0.00020000	0.0066620	0.88362
0.00040000	0.012292	0.93193
0.00060000	0.017935	0.96527
0.00080000	0.023676	0.61963
0.0010000	0.027186	0.57933
0.0012000	0.030216	-0.0068772
0.0014000	0.030184	-0.35809
0.0016000	0.028775	-0.60171
0.0018000	0.026806	-0.60199
0.0020000	0.025158	-0.60213
0.0022000	0.023755	-0.60194
0.0024000	0.022543	-0.60128
0.0026000	0.021483	-0.60248
0.0028000	0.020545	-0.60206
0.0030000	0.019709	-0.60231
0.0032000	0.018958	-0.60187
0.0034000	0.018279	-0.60130
0.0036000	0.017661	-0.60320
0.0038000	0.017095	-0.60215
0.0040000	0.016575	-0.60092
0.0042000	0.016096	-0.60291
0.0044000	0.015651	-0.60096
0.0046000	0.015238	-0.60230
0.0048000	0.014852	-0.60141
0.0050000	0.014492	-0.60203
0.0052000	0.014154	-0.60273
0.0054000	0.013836	-0.60223
0.0056000	0.013536	-0.60196
0.0058000	0.013253	-0.60263
0.0060000	0.012985	-0.60228
0.0062000	0.012731	-0.60036
0.0064000	0.012491	-0.60342
0.0066000	0.012261	-0.59998
0.0068000	0.012043	-0.60079
0.0070000	0.011835	-0.60652
0.0072000	0.011635	-0.60092
0.0074000	0.011445	-0.60037
0.0076000	0.011263	-0.60230
0.0078000	0.011088	-0.60345
0.0080000	0.010920	-0.60133
0.0082000	0.010759	-0.60214
0.0084000	0.010604	-0.60218
0.0086000	0.010455	-0.59878
0.0088000	0.010312	-0.60315
0.0090000	0.010173	-0.60548
0.0092000	0.010039	-0.59827
0.0094000	0.0099101	-0.60350
0.0096000	0.0097853	-0.60251
0.0098000	0.0096646	-0.60244
0.0100000	0.0095477	-0.60186
0.010200	0.0094346	-0.59922
0.010400	0.0093250	-0.60398
0.010600	0.0092186	-0.60146
0.010800	0.0091155	-0.60399
0.011000	0.0090153	-0.59888
0.011200	0.0089181	-0.60188
0.011400	0.0088236	-0.60519
0.011600	0.0087317	-0.60252
0.011800	0.0086422	-0.59799
0.012000	0.0085553	-0.60373
0.012200	0.0084705	-0.60417
0.012400	0.0083880	-0.60196
0.012600	0.0083076	-0.60012
0.012800	0.0082292	-0.60177
0.013000	0.0081528	-0.60080
0.013200	0.0080782	-0.60352
0.013400	0.0080054	-0.60278
0.013600	0.0079343	-0.60174
0.013800	0.0078649	-0.60214
0.014000	0.0077970	-0.60138
0.014200	0.0077307	-0.60126
0.014400	0.0076659	-0.60081
0.014600	0.0076026	-0.60310
0.014800	0.0075405	-0.60316
0.015000	0.0074798	-0.60299
0.015200	0.0074205	-0.60106
0.015400	0.0073623	-0.60252
0.015600	0.0073053	-0.59902
0.015800	0.0072495	-0.60483
0.016000	0.0071949	-0.59934
0.016200	0.0071412	-0.60596
0.016400	0.0070886	-0.60264
0.016600	0.0070371	-0.60137
0.016800	0.0069865	-0.59749
0.017000	0.0069370	-0.60215
0.017200	0.0068883	-0.60551
0.017400	0.0068405	-0.60348
0.017600	0.0067936	-0.60261
0.017800	0.0067475	-0.60007
0.018000	0.0067023	-0.59881
0.018200	0.0066579	-0.60418
0.018400	0.0066142	-0.60250
0.018600	0.0065713	-0.60211
0.018800	0.0065291	-0.60009
0.019000	0.0064877	-0.60086
0.019200	0.0064469	-0.60577
0.019400	0.0064068	-0.59886
0.019600	0.0063674	-0.60677
0.019800	0.0063285	-0.59788
0.020000	0.0062904	-0.60559
0.020200	0.0062528	-0.59782
0.020400	0.0062159	-0.60715
0.020600	0.0061794	-0.59901
0.020800	0.0061436	-0.60026
0.021000	0.0061083	-0.60605
0.021200	0.0060736	-0.60248
0.021400	0.0060393	-0.60169
0.021600	0.0060056	-0.59789
0.021800	0.0059723	-0.60333
0.022000	0.0059396	-0.60590
0.022200	0.0059073	-0.59977
0.022400	0.0058755	-0.60011
0.022600	0.0058442	-0.60244
0.022800	0.0058133	-0.60663
0.023000	0.0057827	-0.59786
0.023200	0.0057527	-0.60192
0.023400	0.0057230	-0.60176
0.023600	0.0056938	-0.60371
0.023800	0.0056650	-0.60042
0.024000	0.0056365	-0.60426
0.024200	0.0056083	-0.60169
0.024400	0.0055807	-0.60016
0.024600	0.0055533	-0.60175
0.024800	0.0055263	-0.60535
0.025000	0.0054996	-0.59921
0.025200	0.0054733	-0.60275
0.025400	0.0054473	-0.60631
0.025600	0.0054216	-0.59965
0.025800	0.0053963	-0.60311
0.026000	0.0053713	-0.60100
0.026200	0.0053465	-0.60188
0.026400	0.0053221	-0.59719
0.026600	0.0052980	-0.60842
0.026800	0.0052742	-0.59796
0.027000	0.0052506	-0.60101
0.027200	0.0052273	-0.60407
0.027400	0.0052043	-0.60141
0.027600	0.0051815	-0.60174
0.027800	0.0051591	-0.61014
0.028000	0.0051368	-0.59340
0.028200	0.0051149	-0.60736
0.028400	0.0050932	-0.59579
0.028600	0.0050717	-0.60993
0.028800	0.0050504	-0.60102
0.029000	0.0050295	-0.60062
0.029200	0.0050087	-0.60606
0.029400	0.0049881	-0.59970
0.029600	0.0049678	-0.59626
0.029800	0.0049477	-0.61056
0.030000	0.0049278	-0.59791
0.030200	0.0049081	-0.60008
0.030400	0.0048887	-0.60859
0.030600	0.0048694	-0.59548
0.030800	0.0048503	-0.61004
0.031000	0.0048314	-0.59341
0.031200	0.0048128	-0.60180
0.031400	0.0047943	-0.60702
0.031600	0.0047760	-0.60269
0.031800	0.0047579	-0.60165
0.032000	0.0047399	-0.60345
0.032200	0.0047222	-0.60219
0.032400	0.0047046	-0.59765
0.032600	0.0046872	-0.60621
0.032800	0.0046699	-0.59785
0.033000	0.0046529	-0.60645
0.033200	0.0046360	-0.60510
0.033400	0.0046192	-0.60002
0.033600	0.0046026	-0.60503
0.033800	0.0045862	-0.60341
0.034000	0.0045699	-0.59450
0.034200	0.0045539	-0.60682
0.034400	0.0045379	-0.60139
0.034600	0.0045221	-0.59958
0.034800	0.0045064	-0.60844
0.035000	0.0044908	-0.60264
0.035200	0.0044754	-0.59681
0.035400	0.0044602	-0.60559
0.035600	0.0044451	-0.60360
0.035800	0.0044301	-0.60167
0.036000	0.0044152	-0.60638
0.036200	0.0044005	-0.60419
0.036400	0.0043859	-0.60211
0.036600	0.0043714	-0.60674
0.036800	0.0043571	-0.59352
0.037000	0.0043429	-0.60223
0.037200	0.0043288	-0.61125
0.037400	0.0043148	-0.60444
0.037600	0.0043010	-0.59506
0.037800	0.0042872	-0.61110
0.038000	0.0042736	-0.59694
0.038200	0.0042601	-0.60587
0.038400	0.0042467	-0.60318
0.038600	0.0042334	-0.59606
0.038800	0.0042203	-0.60951
0.039000	0.0042072	-0.60680
0.039200	0.0041942	-0.59932
0.039400	0.0041814	-0.60119
0.039600	0.0041686	-0.61027
0.039800	0.0041559	-0.60242
0.040000	0.0041434	-0.59949
0.040200	0.0041310	-0.60118
0.040400	0.0041186	-0.60549
0.040600	0.0041064	-0.60714
0.040800	0.0040942	-0.60413
0.041000	0.0040821	-0.60082
0.041200	0.0040701	-0.60994
0.041400	0.0040582	-0.60667
0.041600	0.0040464	-0.60332
0.041800	0.0040347	-0.59981
0.042000	0.0040231	-0.59633
0.042200	0.0040116	-0.61076
0.042400	0.0040001	-0.60194
0.042600	0.0039888	-0.60366
0.042800	0.0039775	-0.61294
0.043000	0.0039663	-0.59636
0.043200	0.0039552	-0.60537
0.043400	0.0039442	-0.60713
0.043600	0.0039332	-0.59770
0.043800	0.0039224	-0.61842
0.044000	0.0039115	-0.59552
0.044200	0.0039008	-0.60464
0.044400	0.0038902	-0.60641
0.044600	0.0038796	-0.60220
0.044800	0.0038691	-0.61176
0.045000	0.0038587	-0.60742
0.045200	0.0038484	-0.59563
0.045400	0.0038381	-0.60471
0.045600	0.0038279	-0.62054
0.045800	0.0038177	-0.60211
0.046000	0.0038076	-0.61159
0.046200	0.0037976	-0.60701
0.046400	0.0037877	-0.60859
0.046600	0.0037778	-0.60413
0.046800	0.0037680	-0.59939
0.047000	0.0037583	-0.61535
0.047200	0.0037486	-0.59636
0.047400	0.0037390	-0.61206
0.047600	0.0037294	-0.60729
0.047800	0.0037199	-0.61712
0.048000	0.0037105	-0.60396
0.048200	0.0037011	-0.61363
0.048400	0.0036918	-0.59401
0.048600	0.0036826	-0.61011
0.048800	0.0036734	-0.61162
0.049000	0.0036642	-0.62168
0.049200	0.0036551	-0.60130
0.049400	0.0036461	-0.61783
0.049600	0.0036371	-0.59758
0.049800	0.0036282	-0.61402
0.050000	0.0036193	-0.60857
0.050200	0.0036105	-0.62575
0.050400	0.0036017	-0.60464
0.050600	0.0035930	-0.61438
0.050800	0.0035844	-0.60058
0.051000	0.0035758	-0.61743
0.051200	0.0035672	-0.61173
0.051400	0.0035587	-0.61316
0.051600	0.0035502	-0.62342
0.051800	0.0035418	-0.60888
0.052000	0.0035334	-0.61886
0.052200	0.0035251	-0.60439
0.052400	0.0035168	-0.61434
0.052600	0.0035086	-0.61576
0.052800	0.0035004	-0.63380
0.053000	0.0034922	-0.61112
0.053200	0.0034841	-0.60493
0.053400	0.0034761	-0.63058
0.053600	0.0034680	-0.62414
0.053800	0.0034600	-0.61786
0.054000	0.0034521	-0.61911
0.054200	0.0034442	-0.61280
0.054400	0.0034364	-0.62208
0.054600	0.0034285	-0.63258
0.054800	0.0034207	-0.60919
0.055000	0.0034130	-0.62733
0.055200	0.0034053	-0.62887
0.055400	0.0033976	-0.62203
0.055600	0.0033900	-0.62344
0.055800	0.0033824	-0.62481
0.056000	0.0033748	-0.61801
0.056200	0.0033673	-0.63706
0.056400	0.0033598	-0.62084
0.056600	0.0033523	-0.63134
0.056800	0.0033449	-0.63283
0.057000	0.0033375	-0.64278
0.057200	0.0033300	-0.62698
0.057400	0.0033227	-0.62843
0.057600	0.0033154	-0.64839
0.057800	0.0033081	-0.63120
0.058000	0.0033008	-0.64217
0.058200	0.0032936	-0.62534
0.058400	0.0032864	-0.64498
0.058600	0.0032792	-0.63759
0.058800	0.0032721	-0.64778
0.059000	0.0032649	-0.64039
0.059200	0.0032578	-0.65178
0.059400	0.0032508	-0.64306
0.059600	0.0032437	-0.64456
0.059800	0.0032366	-0.65602
0.060000	0.0032296	-0.65761
0.060200	0.0032226	-0.64947
0.060400	0.0032157	-0.66036
0.060600	0.0032087	-0.65227
0.060800	0.0032018	-0.65385
0.061000	0.0031949	-0.66469
0.061200	0.0031879	-0.64702
0.061400	0.0031811	-0.67864
0.061600	0.0031742	-0.67993
0.061800	0.0031673	-0.65140
0.062000	0.0031605	-0.67307
0.062200	0.0031537	-0.68440
0.062400	0.0031468	-0.67605
0.062600	0.0031400	-0.67745
0.062800	0.0031332	-0.66905
0.063000	0.0031265	-0.70230
0.063200	0.0031197	-0.67193
0.063400	0.0031130	-0.68336
0.063600	0.0031062	-0.70681
0.063800	0.0030994	-0.69815
0.064000	0.0030927	-0.71004
0.064200	0.0030859	-0.67918
0.064400	0.0030792	-0.70266
0.064600	0.0030725	-0.71476
0.064800	0.0030657	-0.72930
0.065000	0.0030590	-0.70722
0.065200	0.0030523	-0.71958
0.065400	0.0030455	-0.73417
0.065600	0.0030388	-0.71204
0.065800	0.0030321	-0.74831
0.066000	0.0030253	-0.73909
0.066200	0.0030186	-0.75165
0.066400	0.0030118	-0.75340
0.066600	0.0030050	-0.74418
0.066800	0.0029983	-0.75674
0.067000	0.0029915	-0.75864
0.067200	0.0029847	-0.76023
0.067400	0.0029779	-0.77327
0.067600	0.0029710	-0.79010
0.067800	0.0029642	-0.76564
0.068000	0.0029574	-0.80556
0.068200	0.0029505	-0.80730
0.068400	0.0029436	-0.80918
0.068600	0.0029367	-0.82292
0.068800	0.0029297	-0.79743
0.069000	0.0029227	-0.85644
0.069200	0.0029157	-0.82891
0.069400	0.0029087	-0.83065
0.069600	0.0029017	-0.84486
0.069800	0.0028946	-0.87721
0.070000	0.0028875	-0.86074
0.070200	0.0028803	-0.89390
0.070400	0.0028731	-0.86525
0.070600	0.0028659	-0.91093
0.070800	0.0028586	-0.91315
0.071000	0.0028513	-0.91545
0.071200	0.0028440	-0.93052
0.071400	0.0028366	-0.94550
0.071600	0.0028291	-0.94806
0.071800	0.0028216	-0.96339
0.072000	0.0028140	-0.96577
0.072200	0.0028064	-0.98127
0.072400	0.0027987	-1.0205
0.072600	0.0027910	-0.99940
0.072800	0.0027832	-1.0528
